molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,SMILES
CHEMBL4790545,6.77,IC50,nM,170,IC50,uM,0.17,COc1ccc2cc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)ccc2c1
CHEMBL4741219,7.41,IC50,nM,38.7,IC50,nM,38.7,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(CCNc2c3c(nc4cc(Cl)ccc24)CCCC3)nn1
CHEMBL4796602,6.57,IC50,nM,269,IC50,nM,269,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(CCNc2c3c(nc4ccccc24)CCCC3)nn1
CHEMBL4760288,6.78,IC50,nM,168,IC50,nM,168,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCCc1cn(CCNc2c3c(nc4ccccc24)CCCC3)nn1
CHEMBL4756424,7.92,IC50,nM,12.1,IC50,nM,12.1,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCOCc1cn(CCNc2c3c(nc4cc(Cl)ccc24)CCCC3)nn1
CHEMBL4779478,7.35,IC50,nM,44.7,IC50,nM,44.7,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCOCc1cn(CCNc2c3c(nc4ccccc24)CCCC3)nn1
CHEMBL95,6.76,IC50,nM,171.9,IC50,nM,171.9,Nc1c2c(nc3ccccc13)CCCC2
CHEMBL4781117,6.51,IC50,nM,311.6,IC50,nM,311.6,O=C(NCCCNc1c2c(nc3ccccc13)CCCC2)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CC1
CHEMBL4754192,6.53,IC50,nM,295.2,IC50,nM,295.2,O=C(NCCCNc1c2c(nc3ccccc13)CCCC2)c1sc(-c2ccnc(NC(=O)C3CCC3)c2)nc1OCC1CC1
CHEMBL4758531,6.41,IC50,nM,393.6,IC50,nM,393.6,CC(=O)Nc1cc(-c2nc(OCC3CC3)c(C(=O)NCCCNc3c4c(nc5ccccc35)CCCC4)s2)ccn1
